,Texts,Polarity
268,"Anyway, we both love Harry Potter, books, Pirates of the Caribbean, taking pictures, and writing and we have the same sarcastic and quirky sense of humor.",1
269,Brokeback Mountain was beautiful.,1
270,mission impossible 2 rocks!!....,1
271,"I liked the first "" Mission Impossible.",1
272,I love The Da Vinci Code...,1
273,"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
274,"Oh, and Brokeback Mountain was a terrible movie.",-1
275,"Anyway, thats why I love "" Brokeback Mountain.",1
276,SesoHQ MKBHD Sick,0
277,"I liked the first "" Mission Impossible.",1
278,I love Brokeback Mountain.,1
279,I love The Da Vinci Code...,1
280,I hate Harry Potter.,-1
281,I love Brokeback Mountain.,1
282,I miss my Teddy Bear,0
283,dudeee i LOVED brokeback mountain!!!!,1
284,elonmusk LilTunechi goats,0
285,"The Da Vinci Code was awesome, I can't wait to read it...",1
286,I hate Harry Potter.,-1
287,"Harry Potter dragged Draco Malfoy â s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",-1
288,the last stand and Mission Impossible 3 both were awesome movies.,1
289,I still love Brokeback Mountain and Queer eye.,1
290,The Da Vinci Code's supposed to suck..,-1
291,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",-1
292,"I just came back from the movies, my mom and I watched Mission Impossible 3, which was an awesome movie.",1
293,"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
294,I love Brokeback Mountain....,1
295,"The Da Vinci Code was awesome, I can't wait to read it...",1
296,mission impossible 2 rocks!!....,1
297,Love luv lubb the Da Vinci Code!,1
298,Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
299,I love Harry Potter..,1
300,I like Mission Impossible movies because you never know who's on the right side.,1
301,"The Da Vinci Code was awesome, I can't wait to read it...",1
302,mission impossible 2 rocks!!....,1
303,brokeback mountain is a depressing movie.,-1
304,I wanted desperately to love'The Da Vinci Code as a film.,1
305,The Da Vinci Code sucked big time.,-1
306,Brokeback Mountain was an AWESOME movie.,1
307,"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
308,I HATE Harry Potter.,-1
309,"Is it just me, or does Harry Potter suck?...",-1
310,the last stand and Mission Impossible 3 both were awesome movies.,1
311,My dad's being stupid about brokeback mountain...,-1
312,"The Da Vinci Code was awesome, I can't wait to read it...",1
313,I hate Harry Potter..,-1
314,I hate Harry Potter.,-1
315,friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,-1
316,"I, too, like Harry Potter..",1
317,Da Vinci Code sucks.,-1
318,I watched Brokeback Mountain and tried my best to hate the thing.,-1
319,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",-1
320,The Da Vinci Code was awesome in my opinion -- the book and the movie.,1
321,well anyways a lot of us went and saw mission impossible three tonight which was awesome!,1
322,Finally feel up to making the long ass drive out to the Haunt tonight...-and Mission Impossible III was good....,1
323,The Da Vinci Code was absolutely AWESOME!,1
324,"Is it just me, or does Harry Potter suck?...",-1
325,My dad's being stupid about brokeback mountain...,-1
326,"I, too, like Harry Potter..",1
327,The Da Vinci Code is awesome..,1
328,"Harry Potter dragged Draco Malfoy â s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",-1
329,askmenfess Duh lu kampungan ya der Lo tau ga aturan foto jenazah itu hrus di blur Diseluruh dunia ga cm diindon,0
330,elonmusk Waiting patiently PATIENTLY I TELL YOU,0
331,"Oh, and Brokeback Mountain is a TERRIBLE movie...",-1
332,Brokeback Mountain was so awesome.,1
333,The Da Vinci Code sucked ass!!!!,-1
334,the people who are worth it know how much i love the da vinci code.,1
335,JosephBullivant HeyMarkL CaseyNeistat MKBHD Mac is pretty scared of it Im just glad I got one picture of him next to it haha,0
336,"Harry Potter dragged Draco Malfoy â s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",-1
337,Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
338,"No matter how much I love Brokeback Mountain, Crash definitely deserved the Oscar as best movie this year.",1
339,Love luv lubb the Da Vinci Code!,1
340,So Brokeback Mountain was really depressing.,-1
341,Love the Harry Potter series though I try not to talk about it too much..,1
342,The Da Vinci Code sucked big time.,-1
343,"Anyway, thats why I love "" Brokeback Mountain.",1
344,Da Vinci Code sucked..,-1
345,I love Brokeback Mountain....,1
346,"I, too, like Harry Potter..",1
347,"Oh, and Brokeback Mountain is a TERRIBLE movie...",-1
348,"I, too, like Harry Potter..",1
349,These Harry Potter movies really suck.,-1
350,"It was awesome, I finished up my tests, and afterschool I relaxed for a while, and then i ate at Margaritas w / Emily, and then we went to watch Mission Impossible III, which was AWESOME!",1
351,dudeee i LOVED brokeback mountain!!!!,1
352,I love Harry Potter.,1
353,I love Brokeback Mountain....,1
354,"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
355,mission impossible 2 rocks!!....,1
356,I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,-1
357,i love being a sentry for mission impossible and a station for bonkers.,1
358,"but whatever it is,. i really hate the da vinci code..",-1
359,Da Vinci Code sucks.,-1
360,Mission Impossible III is awesome!.. [ Pictures from Erin's ]..........,1
361,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",-1
362,My dad's being stupid about brokeback mountain...,-1
363,leonardo dicaprio nude photos natural naked filipino girls sunny lane anal movie girls strip to nude yo,0
364,da vinci code sucks...,-1
365,"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",-1
366,"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",-1
367,EVILPINKMUNKY IS GAY AND BROKEBACK MOUNTAIN SUCKS!.,-1
368,These Harry Potter movies really suck.,-1
369,"The Da Vinci Code was awesome, I can't wait to read it...",1
370,"Always knows what I want, not guy crazy, hates Harry Potter..",-1
371,"so, we got tickets for mission impossible 3, which turned out to be awesome.",1
372,"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
373,"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",-1
374,da vinci code sucks...,-1
375,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",-1
376,This quiz sucks and Harry Potter sucks ok bye..,-1
377,Brokeback Mountain was boring.,-1
378,"Anyway, I LOVED Brokeback Mountain...",1
379,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",-1
380,Da Vinci Code sucked..,-1
381,"Oh, and Brokeback Mountain is a TERRIBLE movie...",-1
382,the people who are worth it know how much i love the da vinci code.,1
383,PhillyD petermckinnon Watching all of my favorite youtubers like you two CaseyNeistat MKBHD and many others be,0
384,I like Mission Impossible movies because you never know who's on the right side.,1
385,"Is it just me, or does Harry Potter suck?...",-1
386,Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
387,"Harry Potter dragged Draco Malfoy â s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",-1
388,Brokeback Mountain was an AWESOME movie.,1
389,"Oh, and Brokeback Mountain was a terrible movie.",-1
390,"I, too, like Harry Potter..",1
391,The Da Vinci Code is awesome..,1
392,I love Harry Potter.,1
393,"Don't get me wrong, I like Harry Potter, but I need a fantasy movie of a different kind every once in a while.",1
394,elonmusk,0
395,This quiz sucks and Harry Potter sucks ok bye..,-1
396,"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
397,so i heard brokeback mountain was an AWESOME move!!,1
398,"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",-1
399,"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
400,"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
401,The Da Vinci Code is awesome!!,1
402,"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",-1
403,Da Vinci Code sucks.,-1
404,DA VINCI CODE IS AWESOME!!,1
405,I love Harry Potter..,1
406,Brokeback Mountain was an AWESOME movie.,1
407,I hate Harry Potter.,-1
408,its Hannity,0
409,elonmusk Not gangster,0
410,I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,-1
411,I love Brokeback Mountain.,1
412,The Da Vinci Code was AWESOME.,1
413,Da Vinci Code sucks be...,-1
414,"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
415,Brokeback Mountain was so awesome.,1
416,Mission Impossible 3 was quite boring.,-1
417,"Always knows what I want, not guy crazy, hates Harry Potter..",-1
418,MKBHD The boosted board mini has less megapixels and less ram than the boosted board,0
419,i love kirsten / leah / kate escapades and mission impossible tom as well...,1
420,I love Brokeback Mountain.,1
421,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",-1
422,The Da Vinci Code was absolutely AWESOME!,1
423,"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
424,Mission Impossible 3 sucked!..,-1
425,I liked a YouTube video LIE DETECTOR TEST on LOGAN PAUL EXPOSED,1
426,I love Harry Potter.,1
427,Harry Potter is AWESOME I don't care if anyone says differently!..,1
428,So Brokeback Mountain was really depressing.,-1
429,nest MKBHD You should always be recording but delete the footage days after the original recording That way i,0
430,I love Harry Potter..,1
431,dudeee i LOVED brokeback mountain!!!!,1
432,i love being a sentry for mission impossible and a station for bonkers.,1
433,"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",-1
434,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",-1
435,"by the way, the Da Vinci Code sucked, just letting you know...",-1
436,da vinci code was an awesome movie...,1
437,"Mission Impossible 3 is astonishingly good, fat free, and very much worth a rent.",1
438,I hate Harry Potter..,-1
439,so we ran off because we HATED Top Gun / Mission Impossible 2 / Cocktail.,-1
440,i love kirsten / leah / kate escapades and mission impossible tom as well...,1
441,I wanted desperately to love'The Da Vinci Code as a film.,1
442,Love luv lubb the Da Vinci Code!,1
443,I love Harry Potter.,1
444,Thank u! omg I love Brokeback Mountain!,1
445,I love The Da Vinci Code...,1
446,The Da Vinci Code is awesome!!,1
447,MKBHD wtf is that framing,0
448,I didn't hate it as much as I hated Brokeback Mountain but I did hate Sam with a passion.,-1
449,Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
450,"Oh, and Brokeback Mountain is a TERRIBLE movie...",-1
451,i told my mom i have a better chance with leonardo dicaprio than she does and she threw a shoe at me,1
452,I love Brokeback Mountain.,1
453,"Is it just me, or does Harry Potter suck?...",-1
454,"The Da Vinci Code was awesome, I can't wait to read it...",1
455,Da Vinci Code sucked..,-1
456,The Da Vinci Code was absolutely AWESOME!,1
457,After the god-awful â Mission Impossible 2 â from John Woo laid a major egg.,-1
458,The Da Vinci Code sucked big time.,-1
459,"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",-1
460,Brokeback mountain was beautiful...,1
461,Wala na Mama ko ga nood na ng vlogs ni Logan Paul Nahawa na nila ace at bryan,0
